# prefix	name	total	width	height	sample1	sample2
grommet-icons	Grommet Icons	637	24	24	accessibility	achievement
guidance	Guidance	360	24	24	24-hours	accesible-restroom
healthicons	Health Icons	2691	48	48	0	0-negative
heroicons-outline	HeroIcons v1 Outline	385	24	24	academic-cap	adjustments
heroicons-solid	HeroIcons v1 Solid	387	20	20	academic-cap	adjustments
heroicons	HeroIcons	1288	24	24	academic-cap	academic-cap-16-solid
hugeicons	Huge Icons	4679	24	24	1st-bracket	1st-bracket-circle
humbleicons	Humbleicons	287	24	24	activity	adjustments
ic	Google Material Icons	10956	24	24	baseline-10k	baseline-10mp
icomoon-free	IcoMoon Free	491	24	24	500px	accessibility
icon-park-outline	IconPark Outline	2658	48	48	a-cane	abdominal
icon-park-solid	IconPark Solid	1970	48	48	a-cane	abnormal
icon-park-twotone	IconPark TwoTone	1947	48	48	abnormal	acceleration
icon-park	IconPark	2658	48	48	a-cane	abdominal
iconamoon	IconaMoon	1781	24	24	3d	3d-bold
iconoir	Iconoir	1682	24	24	accessibility	accessibility-sign
icons8	Icons8 Windows 10 Icons	234	32	32	add-shopping-cart	add-user
il	Icalicons	84	680	850	add-user	arrow-down
ion	IonIcons	2361	512	512	accessibility	accessibility-outline
iwwa	Innowatio Font	105	40	40	add	add-15m
ix	Siemens Industrial Experience Icons	1426	512	512	about	about-filled
jam	Jam Icons	940	24	24	500px	accessibility
la	Line Awesome	1544	32	32	500px	accessible-icon
lets-icons	Lets Icons	1544	24	24	10	10-light
line-md	Material Line Icons	1233	24	24	account	account-add
lineicons	Lineicons	962	24	24	500px	add-files
logos	SVG Logos	2063	512	190	100tb	500px
ls	Ligature Symbols	348	502	772	0	1
lsicon	Lsicon	716	24	24	add-chat-filled	add-chat-outline
lucide-lab	Lucide Lab	373	24	24	ampersand-square	apple-core
lucide	Lucide	1710	24	24	a-arrow-down	a-arrow-up
mage	Mage Icons	1042	24	24	adobe	aeroplane
majesticons	Majesticons	1045	24	24	academic-cap	academic-cap-line
maki	Maki	418	15	15	aerialway	aerialway-11
map	Map Icons	167	50	50	abseiling	accounting
marketeq	Marketeq	590	50	50	1st-place	2k
material-icon-theme	Material Icon Theme	1138	24	24	3d	abap
material-symbols-light	Material Symbols Light	15433	24	24	10k	10k-outline
material-symbols	Material Symbols	15905	24	24	10k	10k-outline
mdi-light	Material Design Light	304	24	24	account	account-alert
mdi	Material Design Icons	7638	24	24	ab-testing	abacus
medical-icon	Medical Icons	144	64	64	accessibility	administration
memory	Memory Icons	651	22	22	account	account-box
meteocons	Meteocons	450	512	512	barometer	barometer-fill
meteor-icons	Meteor Icons	321	24	24	adobe	airplay
mi	Mono Icons	180	24	24	add	archive
mingcute	MingCute Icon	3324	24	24	abs-fill	abs-line
mono-icons	Mono Icons	180	24	24	add	archive
mynaui	Myna UI Icons	2618	24	24	a-arrow-down	a-arrow-down-solid
nimbus	Nimbus	140	24	24	accordion	align-center
nonicons	Nonicons	69	24	24	angular-16	babel-16
noto-v1	Noto Emoji (v1)	2162	128	128	1st-place-medal	2nd-place-medal
noto	Noto Emoji	3800	128	128	0	1
nrk	NRK Core Icons	241	24	24	360	404
octicon	Octicons	901	24	24	accessibility-16	accessibility-24
oi	Open Iconic	223	8	8	account-login	account-logout
ooui	OOUI	370	20	20	add	alert
openmoji	OpenMoji	4483	72	72	1st-place-medal	2nd-place-medal
oui	OpenSearch UI	444	24	24	accessibility	add-bookmark
pajamas	Gitlab SVGs	414	24	24	abuse	accessibility
pepicons-pencil	Pepicons Pencil	1275	20	20	airplane	airplane-circle
pepicons-pop	Pepicons Pop!	1290	20	20	airplane	airplane-circle
pepicons-print	Pepicons Print	1286	20	20	airplane	airplane-circle
pepicons	Pepicons	428	20	20	airplane	airplane-print
ph	Phosphor	9161	256	256	acorn	acorn-bold
picon	Pico-icon	824	8	8	2g	3g
pixel	Pixel Icon	450	24	24	ad	ad-solid
pixelarticons	Pixelarticons	486	24	24	4g	4k
prime	Prime Icons	313	24	24	address-book	align-center
proicons	ProIcons	547	24	24	accessibility	add
ps	PrestaShop Icons	479	528	448	30-80	40-105
qlementine-icons	Qlementine Icons	863	24	24	accessibility-16	accordion-16
quill	Quill Icons	141	32	32	activity	add
radix-icons	Radix Icons	342	15	15	accessibility	activity-log
raphael	Raphael	266	32	32	500px	acw
ri	Remix Icon	3229	24	24	24-hours-fill	24-hours-line
rivet-icons	Rivet Icons	210	24	24	alarm	alarm-solid
roentgen	Rontgen	522	24	24	advertising-column	amphora
si-glyph	SmartIcons Glyph	799	16	24	abacus	adjustment-horizon
si	Sargam Icons	1301	24	24	actions-duotone	actions-fill
sidekickicons	SidekickIcons	232	24	24	arc-third	arc-third-16-solid
simple-icons	Simple Icons	3666	24	24	1001tracklists	1and1
simple-line-icons	Simple line icons	194	1024	1024	action-redo	action-undo
skill-icons	Skill Icons	397	256	256	ableton-dark	ableton-light
solar	Solar	7404	24	24	4k-bold	4k-bold-duotone
stash	Stash Icons	982	24	24	airplane	airplane-duotone
streamline-block	Streamline Block	300	24	24	arrowheads-down	arrowheads-down-chevron
streamline-color	Streamline color	2000	14	14	add-1	add-1-flat
streamline-cyber-color	Cyber color icons	500	24	24	3d-glasses	3d-sync
streamline-cyber	Cyber free icons	500	24	24	3d-glasses	3d-sync
streamline-emojis	Streamline Emojis	787	48	48	2	airplane
streamline-flex-color	Flex color icons	1000	14	14	3d-coordinate-axis	3d-coordinate-axis-flat
streamline-flex	Flex free icons	1500	14	14	3d-coordinate-axis	3d-coordinate-axis-remix
streamline-freehand-color	Freehand color icons	1000	24	24	accessories-remote-shutter	accessories-retro-film-1
